patient_id,localization,mfcc_00,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,centroid
HF001,LLL,-802.615641276,132.061251322,-21.4962558746,-29.5639530818,-50.9054425557,-51.9868049622,-37.1802285512,-30.0755233765,-30.2344614664,-16.9519826571,-16.6903885206,-14.7217667898,0.127979430103
HF001,LML,-813.530659994,118.519533793,-11.3442349434,-32.6580235163,-43.8212706248,-52.7377694448,-39.380013148,-29.2050069173,-29.6224501928,-18.3651776314,-15.439620018,-13.2696530024,0.156629228805
HF001,LUL,-809.654876709,110.604292552,-14.7144583066,-38.8100436528,-44.0561771393,-44.1531499227,-37.7442328135,-30.3430544535,-29.2028015455,-19.4077863693,-16.6289402644,-13.0054249763,0.172286875234
HF001,RLL,-824.200520833,125.092362722,-26.5232639313,-28.5778700511,-51.4183851878,-49.509789149,-35.1130371094,-30.6918169657,-28.6652018229,-16.6450268427,-15.7070218722,-13.99826924,0.134267515913
HF001,RML,-828.438293457,122.277097066,-11.8413860699,-29.7778765361,-47.4729690552,-55.339984258,-40.5633290609,-28.9947306315,-28.7394167582,-17.1876265208,-15.8399477005,-15.1607227325,0.143648133645
HF001,RUL,-820.214223226,88.8920834859,-9.43078395725,-29.2216065725,-39.0442943573,-46.3297952016,-40.3417371114,-30.4582071304,-29.3001562754,-19.4224449794,-16.0937112172,-12.3972396851,0.203969625833
HF002,LLL,-822.001831055,138.453491211,-36.0030555725,-27.7675062815,-39.8478762309,-45.3001842499,-32.428273201,-39.6904862722,-32.2748807271,-17.8409164747,-19.0967067083,-14.8238538106,0.116293826505
HF002,LML,-829.069549561,124.650154114,-14.8631062508,-26.0910151799,-44.2114194234,-53.298368454,-38.451370875,-36.5981346766,-30.8139340083,-15.4109892845,-17.0075502395,-14.2698052724,0.142397584202
HF002,LUL,-812.860097249,100.476800283,-6.86937407652,-31.6179796855,-42.2550595601,-49.3484961192,-40.0266577403,-34.1938759486,-31.924481074,-18.4007549286,-17.2215426763,-13.7140855789,0.192777971081
HF002,RLL,-817.812967936,136.327498118,-22.4332895279,-26.1211760839,-52.3189824422,-48.8595034282,-33.4001137416,-36.8709424337,-29.7246761322,-17.0697518985,-19.4144830704,-12.9909043312,0.119862195487
HF002,RML,-814.996999105,110.250150045,-5.25852755706,-26.1318375269,-49.7657165527,-55.3006445567,-38.5240834554,-32.9911413193,-31.0567852656,-16.6205252012,-17.1454790433,-14.7567973137,0.164446860852
HF002,RUL,-782.547027588,90.8308563232,3.80949763457,-28.5155843099,-52.5252577464,-50.6619758606,-40.416153272,-34.4460528692,-30.4712899526,-17.7671025594,-18.0512088139,-14.83015426,0.19893516866
HF003,LLL,-824.052286784,125.803822836,-25.0088380178,-19.1368376414,-44.8055025736,-49.6794370015,-29.930325826,-31.6090532939,-35.5532404582,-19.4092680613,-17.4612102509,-14.914601326,0.135103904197
HF003,LML,-789.354471842,114.105997721,-24.3891143799,-21.285654068,-42.504553477,-51.8179613749,-30.9996891022,-29.1890729268,-34.0392799377,-19.2356821696,-17.3027286529,-16.4706843694,0.15610004702
HF003,LUL,-719.422505696,74.5218480428,-15.008942763,-26.1712347666,-43.743522644,-52.7855606079,-31.3386236826,-24.8683230082,-31.0357837677,-19.6206665039,-18.1969979604,-18.3947594961,0.23554016042
HF003,RLL,-849.400634765,127.960723877,-20.7331900596,-20.5735425949,-41.8164596558,-49.4689044952,-34.242193222,-28.4464368821,-31.1720237732,-17.9292593002,-17.0079965592,-15.22778368,0.134572950546
HF003,RML,-768.845214844,110.826858521,-31.2778040568,-27.289299647,-36.333442688,-53.9523709615,-33.9738547007,-28.1909414927,-33.3844579061,-20.8622627258,-17.5695985158,-15.9216826757,0.167754062168
HF003,RUL,-790.126302083,101.391581217,-16.7961740494,-21.5779196421,-38.4851735433,-53.6009686788,-31.0261948903,-28.975338618,-33.2916876475,-20.7533671061,-16.920460701,-15.8130874634,0.188646108205
